MJACCTTYPCD,PHUONG THUC CHO VAY,LOAIKH,SEX,BASE_BAL,DUNO_QD,CURRENCYCD,THOIHAN,DESC_TIME,MJACCTTYPDESC,PARENTORGNAME,LAISUAT,MUCDICHVAY,NHOMNOMOI
CNS,THE TIN DUNG,1,1,3078000.0,9110577.0,VND,24,Vay ngan han,Vay Tieu dung,KLB - CN TAY NINH,0.0,1840-CV master-Visa-JCB card,1
CNS,"CV TUNG LAN GOC, LAI D.KY",1,0,300000000.0,200000000.0,VND,61,Vay trung han,Vay Tieu dung,KLB - CN SAI GON,12.0,1870-CV TG Sinh hoat Tieu dung,2
MTG,CV TUNG LAN LAI DINH KY,1,1,70000000.0,70000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN TRA VINH,13.4,0111-Nong nghiep,1
CNS,"CV TUNG LAN GOC, LAI D.KY",1,1,300000000.0,277500000.0,VND,122,Vay dai han,Vay Tieu dung,KLB - CN HAI PHONG,12.0,"1822-CV mua,nhan,nhuong BDS",1
MTG,CV TUNG LAN LAI DINH KY,1,1,180000000.0,180000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN RACH GIA,11.5,0111-Nong nghiep,1
CML,"CV TUNG LAN GOC, LAI D.KY",1,1,400000000.0,200000000.0,VND,61,Vay trung han,Vay Cong Thuong,KLB - CN CAN THO,12.0,1900-SX-DV Tu t.dung Gia dinh,1
MTG,CV TUNG LAN LAI DINH KY,1,1,150000000.0,150000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN RACH GIA,12.9,0111-Nong nghiep,1
CML,CV TUNG LAN LAI DINH KY,1,1,100000000.0,100000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN BAC LIEU,13.4,"0719-Ban buon,le hang hoa khac",1
MTG,CV TUNG LAN LAI DINH KY,1,0,20000000.0,20000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN RACH GIA,13.8,0111-Nong nghiep,1
MTG,CV TUNG LAN LAI DINH KY,1,1,50000000.0,41000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN DAK LAK,13.4,0111-Nong nghiep,1
MTG,CV TUNG LAN LAI DINH KY,1,1,600000000.0,600000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN CA MAU,10.8,0210-Nuoi trong thuy san,1
CML,CV TUNG LAN LAI DINH KY,1,0,270000000.0,270000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN DONG THAP,11.1,0710-HD Thuong nghiep,2
CNS,"CV TUNG LAN GOC, LAI D.KY",1,1,600000000.0,555000000.0,VND,122,Vay dai han,Vay Tieu dung,KLB - CN BAC LIEU,12.0,1830-CV Sua chua Nha de o,1
MTG,CV TUNG LAN LAI DINH KY,1,1,85000000.0,85000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN CA MAU,13.4,0210-Nuoi trong thuy san,1
MTG,CV TUNG LAN LAI DINH KY,1,0,350000000.0,300000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN RACH GIA,11.1,0111-Nong nghiep,1
MTG,CV TUNG LAN LAI DINH KY,1,0,170000000.0,170000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN CA MAU,13.1,0210-Nuoi trong thuy san,1
MTG,CV TUNG LAN LAI DINH KY,1,1,300000000.0,300000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN RACH GIA,11.1,0111-Nong nghiep,1
MTG,CV TUNG LAN LAI DINH KY,1,1,40000000.0,40000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN RACH GIA,13.8,0111-Nong nghiep,1
MTG,CV TUNG LAN LAI DINH KY,1,1,60000000.0,60000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN RACH GIA,13.4,0111-Nong nghiep,1
MTG,CV TUNG LAN LAI DINH KY,1,1,50000000.0,50000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN VINH LONG,13.8,0111-Nong nghiep,1
CML,CV TUNG LAN LAI DINH KY,1,0,1000000000.0,1000000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN DONG THAP,10.8,0710-HD Thuong nghiep,1
MTG,CV TUNG LAN LAI DINH KY,1,1,110000000.0,80000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN DONG THAP,12.9,0111-Nong nghiep,1
CNS,"CV TUNG LAN GOC, LAI D.KY",1,0,205000000.0,176200000.0,VND,61,Vay trung han,Vay Tieu dung,KLB - CN HAI PHONG,12.0,1870-CV TG Sinh hoat Tieu dung,1
CML,CV TUNG LAN LAI DINH KY,1,1,200000000.0,200000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN DONG THAP,13.1,0710-HD Thuong nghiep,1
MTG,CV TUNG LAN LAI DINH KY,1,1,100000000.0,100000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN RACH GIA,13.4,0111-Nong nghiep,1
CNS,"CV TUNG LAN GOC, LAI D.KY",1,1,430000000.0,377000000.0,VND,85,Vay dai han,Vay Tieu dung,KLB - CN TIEN GIANG,12.6,"1813-CV mua may moc, PTVT",1
MTG,CV TUNG LAN LAI DINH KY,1,1,210000000.0,180000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN RACH GIA,11.1,0111-Nong nghiep,1
CNS,"CV TUNG LAN GOC, LAI D.KY",1,1,600000000.0,575000000.0,VND,122,Vay dai han,Vay Tieu dung,KLB - CN BINH DUONG,12.2,"1822-CV mua,nhan,nhuong BDS",1
CNS,THE TIN DUNG,1,0,1623600.0,1085258.0,VND,37,Vay ngan han,Vay Tieu dung,KLB - CN LONG AN,0.0,1840-CV master-Visa-JCB card,1
CNS,THE TIN DUNG,1,0,590000.0,23750000.0,VND,37,Vay ngan han,Vay Tieu dung,KLB - CN LONG AN,0.0,1840-CV master-Visa-JCB card,1
CNS,"CV TUNG LAN GOC, LAI D.KY",1,1,1450000000.0,1450000000.0,VND,244,Vay dai han,Vay Tieu dung,KLB - CN DA NANG,12.0,"1822-CV mua,nhan,nhuong BDS",2
CML,CV TUNG LAN LAI DINH KY,1,0,70000000.0,70000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN DONG THAP,13.4,0710-HD Thuong nghiep,1
MTG,CV TUNG LAN LAI DINH KY,1,1,50000000.0,50000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN RACH GIA,10.9,0111-Nong nghiep,1
MTG,CV TUNG LAN LAI DINH KY,1,1,100000000.0,100000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN DONG THAP,13.4,0111-Nong nghiep,1
MTG,CV TUNG LAN LAI DINH KY,1,0,160000000.0,160000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN BEN TRE,12.9,0111-Nong nghiep,1
MTG,CV TUNG LAN LAI DINH KY,1,1,205000000.0,205000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN PHU YEN,11.1,0122-Chi phi chan nuoi,1
MTG,CV TUNG LAN LAI DINH KY,1,0,100000000.0,100000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN TRA VINH,13.4,0111-Nong nghiep,1
CNS,THE TIN DUNG,1,0,5000000.0,13458386.0,VND,73,Vay ngan han,Vay Tieu dung,KLB - CN CAN THO,0.0,1840-CV master-Visa-JCB card,3
MTG,CV TUNG LAN LAI DINH KY,1,1,700000000.0,700000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN RACH GIA,10.8,0111-Nong nghiep,1
MTG,CV TUNG LAN LAI DINH KY,1,1,155000000.0,155000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN RACH GIA,12.9,0111-Nong nghiep,3
MTG,CV TUNG LAN LAI DINH KY,1,0,150000000.0,150000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN RACH GIA,12.9,0111-Nong nghiep,1
CML,CV TUNG LAN LAI DINH KY,1,1,60000000.0,40000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN RACH GIA,13.4,1894-Kinh doanh Ca the,1
MTG,CV TUNG LAN LAI DINH KY,1,1,230000000.0,230000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN KHANH HOA,11.1,0111-Nong nghiep,1
CML,CV TUNG LAN LAI DINH KY,1,0,300000000.0,300000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN DONG THAP,11.1,0710-HD Thuong nghiep,1
CNS,THE TIN DUNG,1,1,7000000.0,4093723.0,VND,37,Vay ngan han,Vay Tieu dung,KLB - CN BEN TRE,0.0,1840-CV master-Visa-JCB card,1
CML,CV TUNG LAN LAI DINH KY,1,1,800000000.0,800000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN VINH LONG,10.8,1816-CV Bo sung von luu dong,1
CNS,"CV TUNG LAN GOC, LAI D.KY",1,0,100000000.0,27000000.0,VND,61,Vay trung han,Vay Tieu dung,KLB - CN CAN THO,14.2,1870-CV TG Sinh hoat Tieu dung,1
CML,CV TUNG LAN LAI DINH KY,1,1,350000000.0,350000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN DONG THAP,11.1,0710-HD Thuong nghiep,1
MTG,CV TUNG LAN LAI DINH KY,1,0,170000000.0,170000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN DONG THAP,12.9,0111-Nong nghiep,1
CML,CV TUNG LAN LAI DINH KY,1,1,150000000.0,150000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN BINH THUAN,13.1,1816-CV Bo sung von luu dong,1
CML,CV TUNG LAN LAI DINH KY,1,1,300000000.0,300000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN CAN THO,10.9,1816-CV Bo sung von luu dong,1
MTG,CV TUNG LAN LAI DINH KY,1,0,700000000.0,700000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN RACH GIA,11.0,0111-Nong nghiep,1
CNS,CV TUNG LAN LAI DINH KY,1,1,560000000.0,560000000.0,VND,12,Vay ngan han,Vay Tieu dung,KLB - CN RACH GIA,9.4,1850-CV the chap STK,1
MTG,CV TUNG LAN LAI DINH KY,1,1,520000000.0,480000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN RACH GIA,11.0,0111-Nong nghiep,1
CNS,"CV TUNG LAN GOC, LAI D.KY",1,1,40000000.0,33000000.0,VND,56,Vay trung han,Vay Tieu dung,KLB - CN KHANH HOA,9.4,1870-CV TG Sinh hoat Tieu dung,1
MTG,CV TUNG LAN LAI DINH KY,1,0,230000000.0,230000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN RACH GIA,10.9,0111-Nong nghiep,1
MTG,CV TUNG LAN LAI DINH KY,1,1,150000000.0,150000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN HAU GIANG,12.9,0111-Nong nghiep,1
MTG,CV TUNG LAN LAI DINH KY,1,0,200000000.0,200000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN RACH GIA,12.9,0111-Nong nghiep,1
CML,CV TUNG LAN LAI DINH KY,1,1,80000000.0,80000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN AN GIANG,13.4,0710-HD Thuong nghiep,1
MTG,CV TUNG LAN LAI DINH KY,1,0,200000000.0,200000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN RACH GIA,12.9,0111-Nong nghiep,1
MTG,CV TUNG LAN LAI DINH KY,1,0,200000000.0,200000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN RACH GIA,12.9,0111-Nong nghiep,1
MTG,CV TUNG LAN LAI DINH KY,1,1,120000000.0,120000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN RACH GIA,12.9,0111-Nong nghiep,1
CML,CV TUNG LAN LAI DINH KY,1,1,150000000.0,150000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN BAC LIEU,12.9,"0711-Ban buon L.thuc,T.pham",1
CNS,THE TIN DUNG,1,0,11019000.0,13357244.0,VND,37,Vay ngan han,Vay Tieu dung,KLB - CN TRA VINH,0.0,1840-CV master-Visa-JCB card,1
CNS,"CV TUNG LAN GOC, LAI D.KY",1,0,200000000.0,180000000.0,VND,61,Vay trung han,Vay Tieu dung,KLB - CN SOC TRANG,13.8,1870-CV TG Sinh hoat Tieu dung,1
MTG,CV TUNG LAN LAI DINH KY,1,1,40000000.0,40000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN RACH GIA,13.8,0111-Nong nghiep,1
MTG,CV TUNG LAN LAI DINH KY,1,1,70000000.0,70000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN RACH GIA,13.4,0111-Nong nghiep,1
CML,CV TUNG LAN LAI DINH KY,1,0,280000000.0,280000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN AN GIANG,11.1,0710-HD Thuong nghiep,1
CNS,THE TIN DUNG,1,1,50000000.0,16541964.0,VND,37,Vay ngan han,Vay Tieu dung,KLB - CN SAI GON,0.0,1840-CV master-Visa-JCB card,1
CML,CV TUNG LAN LAI DINH KY,1,1,205000000.0,135000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN HAI PHONG,11.5,1816-CV Bo sung von luu dong,1
CML,CV TUNG LAN LAI DINH KY,1,1,7700000000.0,7700000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN BINH DINH,10.7,1894-Kinh doanh Ca the,1
MTG,CV TUNG LAN LAI DINH KY,1,0,75000000.0,75000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN RACH GIA,13.4,0111-Nong nghiep,1
CML,CV TUNG LAN LAI DINH KY,1,0,210000000.0,210000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN DONG THAP,11.1,0710-HD Thuong nghiep,1
CNS,"CV TUNG LAN GOC, LAI D.KY",1,0,1300000000.0,1192000000.0,VND,122,Vay dai han,Vay Tieu dung,KLB - CN CAN THO,12.0,"1822-CV mua,nhan,nhuong BDS",1
CML,CV TUNG LAN LAI DINH KY,1,0,1500000000.0,600000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN DA NANG,10.8,1816-CV Bo sung von luu dong,1
CML,CV TUNG LAN LAI DINH KY,1,1,205000000.0,180000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN RACH GIA,11.3,1816-CV Bo sung von luu dong,1
CNS,THE TIN DUNG,1,0,100000.0,729198.0,VND,37,Vay ngan han,Vay Tieu dung,KLB - CN LONG AN,0.0,1840-CV master-Visa-JCB card,1
CNS,THE TIN DUNG,1,0,100000.0,2608701.0,VND,12,Vay ngan han,Vay Tieu dung,KLB - CN LONG AN,0.0,1840-CV master-Visa-JCB card,1
CNS,THE TIN DUNG,1,1,10000000.0,16350986.0,VND,37,Vay ngan han,Vay Tieu dung,KLB - CN TAY NINH,0.0,1840-CV master-Visa-JCB card,1
MTG,CV TUNG LAN LAI DINH KY,1,1,50000000.0,50000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN BAC LIEU,13.8,0111-Nong nghiep,1
CNS,THE TIN DUNG,1,1,15000000.0,27154330.0,VND,37,Vay ngan han,Vay Tieu dung,KLB - CN DONG THAP,0.0,1840-CV master-Visa-JCB card,1
MTG,CV TUNG LAN LAI DINH KY,1,1,150000000.0,150000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN CA MAU,11.0,0210-Nuoi trong thuy san,1
MTG,CV TUNG LAN LAI DINH KY,1,1,95000000.0,95000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN AN GIANG,13.4,0111-Nong nghiep,1
CML,CV TUNG LAN LAI DINH KY,1,0,150000000.0,150000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN DONG THAP,12.9,0710-HD Thuong nghiep,1
CNS,"CV TUNG LAN GOC, LAI D.KY",1,1,700000000.0,641660000.0,VND,122,Vay dai han,Vay Tieu dung,KLB - CN SAI GON,12.2,"1822-CV mua,nhan,nhuong BDS",1
MTG,"CV TUNG LAN GOC, LAI D.KY",1,1,300000000.0,300000000.0,VND,37,Vay trung han,Vay Nong Nghiep,KLB - CN RACH GIA,12.1,0111-Nong nghiep,1
MTG,CV TUNG LAN LAI DINH KY,1,0,150000000.0,150000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN RACH GIA,12.9,0111-Nong nghiep,1
CML,CV TUNG LAN LAI DINH KY,1,0,120000000.0,120000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN DONG THAP,12.9,0710-HD Thuong nghiep,1
CNS,CV TUNG LAN LAI DINH KY,1,0,350000000.0,350000000.0,VND,12,Vay ngan han,Vay Tieu dung,KLB - CN SAI GON,11.3,1894-Kinh doanh Ca the,1
MTG,"CV TUNG LAN GOC, LAI D.KY",1,1,180000000.0,162000000.0,VND,61,Vay trung han,Vay Nong Nghiep,KLB - CN KHANH HOA,13.7,0111-Nong nghiep,1
CNS,THE TIN DUNG,1,1,1098300.0,18056577.0,VND,37,Vay ngan han,Vay Tieu dung,KLB - CN BA RIA - VUNG TAU,0.0,1840-CV master-Visa-JCB card,1
CNS,THE TIN DUNG,1,1,50000000.0,9807856.0,VND,37,Vay ngan han,Vay Tieu dung,KLB - CN VINH LONG,0.0,1840-CV master-Visa-JCB card,1
CNS,THE TIN DUNG,1,1,5000000.0,11784766.0,VND,37,Vay ngan han,Vay Tieu dung,KLB - CN VINH LONG,0.0,1840-CV master-Visa-JCB card,1
CNS,THE TIN DUNG,1,1,5190000.0,1.0,VND,37,Vay ngan han,Vay Tieu dung,KLB - CN VINH LONG,0.0,1840-CV master-Visa-JCB card,1
CNS,THE TIN DUNG,1,1,7000000.0,3254222.0,VND,37,Vay ngan han,Vay Tieu dung,KLB - CN CA MAU,0.0,1840-CV master-Visa-JCB card,1
CNS,THE TIN DUNG,1,1,7000000.0,7678307.0,VND,37,Vay ngan han,Vay Tieu dung,KLB - CN CA MAU,0.0,1840-CV master-Visa-JCB card,1
MTG,CV TUNG LAN LAI DINH KY,1,0,150000000.0,150000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN CAN THO,12.9,0111-Nong nghiep,1
CML,CV TUNG LAN LAI DINH KY,2,1,500000000.0,500000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN TAY NINH,10.8,1816-CV Bo sung von luu dong,2
CML,CV TUNG LAN LAI DINH KY,1,1,300000000.0,200000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN CAN THO,11.1,1816-CV Bo sung von luu dong,1
CNS,"CV TUNG LAN GOC, LAI D.KY",1,1,200000000.0,166660000.0,VND,61,Vay trung han,Vay Tieu dung,KLB - CN SAI GON,13.7,1870-CV TG Sinh hoat Tieu dung,1
CNS,"CV TUNG LAN GOC, LAI D.KY",1,1,1500000000.0,1437500000.0,VND,244,Vay dai han,Vay Tieu dung,KLB - CN DONG NAI,12.0,"1822-CV mua,nhan,nhuong BDS",1
MTG,CV TUNG LAN LAI DINH KY,1,1,90000000.0,90000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN BEN TRE,13.4,0111-Nong nghiep,1
MTG,CV TUNG LAN LAI DINH KY,1,1,600000000.0,600000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN RACH GIA,11.0,0111-Nong nghiep,1
CNS,THE TIN DUNG,1,0,10000000.0,3053803.0,VND,37,Vay ngan han,Vay Tieu dung,KLB - CN BEN TRE,0.0,1840-CV master-Visa-JCB card,1
CNS,THE TIN DUNG,1,0,5000000.0,11037.0,VND,37,Vay ngan han,Vay Tieu dung,KLB - CN BEN TRE,0.0,1840-CV master-Visa-JCB card,1
CNS,THE TIN DUNG,1,0,14412500.0,7000735.0,VND,37,Vay ngan han,Vay Tieu dung,KLB - CN AN GIANG,0.0,1840-CV master-Visa-JCB card,1
CNS,"CV TUNG LAN GOC, LAI D.KY",1,0,150000000.0,150000000.0,VND,61,Vay trung han,Vay Tieu dung,KLB - CN BEN TRE,13.7,1830-CV Sua chua Nha de o,1
CML,CV TUNG LAN LAI DINH KY,1,0,350000000.0,350000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN BINH DINH,11.1,1894-Kinh doanh Ca the,1
CML,CV TUNG LAN LAI DINH KY,1,0,150000000.0,150000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN BINH THUAN,13.1,1816-CV Bo sung von luu dong,1
CML,CV TUNG LAN LAI DINH KY,1,1,250000000.0,250000000.0,VND,12,Vay ngan han,Vay Cong Thuong,KLB - CN BINH THUAN,11.5,1816-CV Bo sung von luu dong,1
MTG,CV TUNG LAN LAI DINH KY,1,1,490000000.0,490000000.0,VND,12,Vay ngan han,Vay Nong Nghiep,KLB - CN DAK LAK,11.1,0111-Nong nghiep,1
CNS,"CV TUNG LAN GOC, LAI D.KY",1,0,500000000.0,446000000.0,VND,25,Vay trung han,Vay Tieu dung,KLB - CN DONG NAI,12.2,1870-CV TG Sinh hoat Tieu dung,1
CNS,THE TIN DUNG,1,1,10000000.0,16445450.0,VND,37,Vay ngan han,Vay Tieu dung,KLB - CN SOC TRANG,0.0,1840-CV master-Visa-JCB card,1
